lead_rank,region_bucket,city,clinic_name,contact_email,contact_phone,official_website,source_file,status,owner,lead_score,lead_tier,buyer_role,named_contact,linkedin_url,pain_hypothesis,intro_source,subject,sequence_stage,last_touch_date,last_touch_channel,follow_up_date,response_class,meeting_status,meeting_target_date,one_pager_sent,next_action_date,notes
11,core_brainport,Eindhoven,Tandartsen Gestel,info@tandartsengestel.nl,+310403030020,http://www.tandartsengestel.nl/,brabant-dental-top-100.csv,sent,Mohamed,7,A2,owner_or_practice_manager,,,Likely loses chair time to no-shows and late cancellations and absorbs the recovery work through reminders and rescheduling.,KNMT_or_NVM,Korte vraag over no-shows bij Tandartsen Gestel,first_email_sent,2026-04-17,email,2026-04-20,no_response,not_booked,,no,2026-04-20,Founder-intro email sent on 2026-04-17 in Dutch
12,core_brainport,Eindhoven,Praktijk voor parodontologie en implantologie Eindhoven,info@paro-eindhoven.nl,0402230444,https://www.paro-eindhoven.nl,brabant-dental-top-100.csv,sent,Mohamed,6,A2,owner_or_practice_manager,,,Likely loses chair time to no-shows and late cancellations and absorbs the recovery work through reminders and rescheduling.,KNMT_or_NVM,Korte vraag over no-shows bij Praktijk voor parodontologie en implantologie Eindhoven,first_email_sent,2026-04-17,email,2026-04-20,no_response,not_booked,,no,2026-04-20,Founder-intro email sent on 2026-04-17 in Dutch
13,core_brainport,Eindhoven,Tandprothetische praktijk de Polders Eindhoven,info@depolders.nl,000402541639,https://depolders.nl/tandprothese/,brabant-dental-top-100.csv,sent,Mohamed,6,A2,owner_or_practice_manager,,,Likely loses chair time to no-shows and late cancellations and absorbs the recovery work through reminders and rescheduling.,KNMT_or_NVM,Korte vraag over no-shows bij Tandprothetische praktijk de Polders Eindhoven,first_email_sent,2026-04-17,email,2026-04-20,no_response,not_booked,,no,2026-04-20,Founder-intro email sent on 2026-04-17 in Dutch
14,core_brainport,Eindhoven,MKA Kliniek Eindhoven,info@mkakliniekeindhoven.nl,0859022999,https://www.mkakliniekeindhoven.nl,brabant-dental-top-100.csv,sent,Mohamed,6,A2,owner_or_practice_manager,,,Likely loses chair time to no-shows and late cancellations and absorbs the recovery work through reminders and rescheduling.,KNMT_or_NVM,Korte vraag over no-shows bij MKA Kliniek Eindhoven,first_email_sent,2026-04-17,email,2026-04-20,no_response,not_booked,,no,2026-04-20,Founder-intro email sent on 2026-04-17 in Dutch
15,brabant_extended,Tilburg,Smile Mondzorg Tilburg,info@smilemondzorg.nl,013 455 1674,http://www.smilemondzorg.nl/,brabant-dental-top-100.csv,sent,Mohamed,7,A2,owner_or_practice_manager,,,"Likely feels reminder, confirmation, and rescheduling workload across an appointment-heavy oral-care schedule.",KNMT_or_NVM,Korte vraag over no-shows bij Smile Mondzorg Tilburg,first_email_sent,2026-04-17,email,2026-04-20,no_response,not_booked,,no,2026-04-20,Founder-intro email sent on 2026-04-17 in Dutch
16,brabant_extended,Tilburg,Tandartsenpraktijk Steenbergen Tilburg B.V.,tilburg@tandarts-steenbergen.nl,+31135352535,https://www.tandarts-steenbergen.nl,brabant-dental-top-100.csv,sent,Mohamed,7,A2,owner_or_practice_manager,,,Likely loses chair time to no-shows and late cancellations and absorbs the recovery work through reminders and rescheduling.,KNMT_or_NVM,Korte vraag over no-shows bij Tandartsenpraktijk Steenbergen Tilburg B.V.,first_email_sent,2026-04-17,email,2026-04-20,no_response,not_booked,,no,2026-04-20,Founder-intro email sent on 2026-04-17 in Dutch
17,brabant_extended,Breda,Dental Clinics Breda Princenhage,breda@dentalclinics.nl,+31765214214,https://www.dentalclinics.nl/tandarts/breda-princenhage/,brabant-dental-top-100.csv,sent,Mohamed,7,A2,owner_or_practice_manager,,,Likely loses site-level chair time to no-shows and late cancellations and still relies on front-desk recovery workflows.,KNMT_or_NVM,Korte vraag over no-shows bij Dental Clinics Breda Princenhage,first_email_sent,2026-04-17,email,2026-04-20,no_response,not_booked,,no,2026-04-20,Founder-intro email sent on 2026-04-17 in Dutch
18,brabant_extended,Oss,Dental Clinics Oss,oss@dentalclinics.nl,+31412646746,https://www.dentalclinics.nl/tandarts/oss/,brabant-dental-top-100.csv,sent,Mohamed,7,A2,owner_or_practice_manager,,,Likely loses site-level chair time to no-shows and late cancellations and still relies on front-desk recovery workflows.,KNMT_or_NVM,Korte vraag over no-shows bij Dental Clinics Oss,first_email_sent,2026-04-17,email,2026-04-20,no_response,not_booked,,no,2026-04-20,Founder-intro email sent on 2026-04-17 in Dutch
19,brabant_extended,Tilburg,Mondzorg Tilburg West,contact@mondzorgtilburgwest.nl,//013-5426219,https://mondzorgtilburgwest.nl,brabant-dental-top-100.csv,sent,Mohamed,7,A2,owner_or_practice_manager,,,"Likely feels reminder, confirmation, and rescheduling workload across an appointment-heavy oral-care schedule.",KNMT_or_NVM,Korte vraag over no-shows bij Mondzorg Tilburg West,first_email_sent,2026-04-17,email,2026-04-20,no_response,not_booked,,no,2026-04-20,Founder-intro email sent on 2026-04-17 in Dutch
20,brabant_extended,Tilburg,Tandartspraktijk Laugeman,info@laugemantandartspraktijk.nl,0134676803,https://www.laugemantandartspraktijk.nl/,brabant-dental-top-100.csv,sent,Mohamed,7,A2,owner_or_practice_manager,,,Likely loses chair time to no-shows and late cancellations and absorbs the recovery work through reminders and rescheduling.,KNMT_or_NVM,Korte vraag over no-shows bij Tandartspraktijk Laugeman,first_email_sent,2026-04-17,email,2026-04-20,no_response,not_booked,,no,2026-04-20,Founder-intro email sent on 2026-04-17 in Dutch
21,brabant_extended,Tilburg,Dental Clinics Tilburg Reeshof,reeshof@dentalclinics.nl,+31135710606,https://www.dentalclinics.nl/tandarts/tilburg-reeshof/,brabant-dental-top-100.csv,sent,Mohamed,7,A2,owner_or_practice_manager,,,Likely loses site-level chair time to no-shows and late cancellations and still relies on front-desk recovery workflows.,KNMT_or_NVM,Korte vraag over no-shows bij Dental Clinics Tilburg Reeshof,first_email_sent,2026-04-17,email,2026-04-20,no_response,not_booked,,no,2026-04-20,Founder-intro email sent on 2026-04-17 in Dutch
22,brabant_extended,Uden,Tandartspraktijk Uden-Zuid B.V.,info@tandartsudenzuid.nl,+31413258280,https://www.tandartsudenzuid.nl/wie-zijn-wij,brabant-dental-top-100.csv,sent,Mohamed,7,A2,owner_or_practice_manager,,,Likely loses chair time to no-shows and late cancellations and absorbs the recovery work through reminders and rescheduling.,KNMT_or_NVM,Korte vraag over no-shows bij Tandartspraktijk Uden-Zuid B.V.,first_email_sent,2026-04-17,email,2026-04-20,no_response,not_booked,,no,2026-04-20,Founder-intro email sent on 2026-04-17 in Dutch
23,brabant_extended,Den Bosch,Centrumtandzorg,administratie@centrumtandzorg.nl,013 234 0880 --,https://centrumtandzorg.nl,brabant-dental-top-100.csv,sent,Mohamed,6,A2,owner_or_practice_manager,,,Likely loses chair time to no-shows and late cancellations and absorbs the recovery work through reminders and rescheduling.,KNMT_or_NVM,Korte vraag over no-shows bij Centrumtandzorg,first_email_sent,2026-04-17,email,2026-04-20,no_response,not_booked,,no,2026-04-20,Founder-intro email sent on 2026-04-17 in Dutch
24,brabant_extended,Breda,Tandartspraktijk MC Dent,info@mcdent.nl,076 82 00 211,https://www.mcdent.nl/behandelingen/,brabant-dental-top-100.csv,sent,Mohamed,7,A2,owner_or_practice_manager,,,Likely loses chair time to no-shows and late cancellations and absorbs the recovery work through reminders and rescheduling.,KNMT_or_NVM,Korte vraag over no-shows bij Tandartspraktijk MC Dent,first_email_sent,2026-04-17,email,2026-04-20,no_response,not_booked,,no,2026-04-20,Founder-intro email sent on 2026-04-17 in Dutch
25,brabant_extended,Den Bosch,Tandartspraktijk Zuid-Willemsvaart,info@tandartspraktijkzuidwillemsvaart.nl,073 6100062,https://tandartspraktijkzuidwillemsvaart.nl,brabant-dental-top-100.csv,sent,Mohamed,7,A2,owner_or_practice_manager,,,Likely loses chair time to no-shows and late cancellations and absorbs the recovery work through reminders and rescheduling.,KNMT_or_NVM,Korte vraag over no-shows bij Tandartspraktijk Zuid-Willemsvaart,first_email_sent,2026-04-17,email,2026-04-20,no_response,not_booked,,no,2026-04-20,Founder-intro email sent on 2026-04-17 in Dutch
26,brabant_extended,Oss,Tandartsenpraktijk Steenbergen Oss B.V.,oss@tandarts-steenbergen.nl,0412 – 639 722,https://www.tandarts-steenbergen-oss.nl,brabant-dental-top-100.csv,sent,Mohamed,7,A2,owner_or_practice_manager,,,Likely loses chair time to no-shows and late cancellations and absorbs the recovery work through reminders and rescheduling.,KNMT_or_NVM,Korte vraag over no-shows bij Tandartsenpraktijk Steenbergen Oss B.V.,first_email_sent,2026-04-17,email,2026-04-20,no_response,not_booked,,no,2026-04-20,Founder-intro email sent on 2026-04-17 in Dutch
27,brabant_extended,Tilburg,Dental Clinics Tilburg Amazone,amazone@dentalclinics.nl,+31134670860,https://www.dentalclinics.nl/tandarts/tilburg-amazone/,brabant-dental-top-100.csv,sent,Mohamed,7,A2,owner_or_practice_manager,,,Likely loses site-level chair time to no-shows and late cancellations and still relies on front-desk recovery workflows.,KNMT_or_NVM,Korte vraag over no-shows bij Dental Clinics Tilburg Amazone,first_email_sent,2026-04-17,email,2026-04-20,no_response,not_booked,,no,2026-04-20,Founder-intro email sent on 2026-04-17 in Dutch
28,brabant_extended,Den Bosch,Dental Clinics Empel,denbosch-empel@dentalclinics.nl,+31736137742,https://www.dentalclinics.nl/tandarts/empel/,brabant-dental-top-100.csv,sent,Mohamed,7,A2,owner_or_practice_manager,,,Likely loses site-level chair time to no-shows and late cancellations and still relies on front-desk recovery workflows.,KNMT_or_NVM,Korte vraag over no-shows bij Dental Clinics Empel,first_email_sent,2026-04-17,email,2026-04-20,no_response,not_booked,,no,2026-04-20,Founder-intro email sent on 2026-04-17 in Dutch
29,brabant_extended,Oss,Tandartsenpraktijk Leempoel-Groenewegen,balie@leempoel-groenewegen.nl,+31412691419,https://leempoel-groenewegen.nl,brabant-dental-top-100.csv,sent,Mohamed,7,A2,owner_or_practice_manager,,,Likely loses chair time to no-shows and late cancellations and absorbs the recovery work through reminders and rescheduling.,KNMT_or_NVM,Korte vraag over no-shows bij Tandartsenpraktijk Leempoel-Groenewegen,first_email_sent,2026-04-17,email,2026-04-20,no_response,not_booked,,no,2026-04-20,Founder-intro email sent on 2026-04-17 in Dutch
30,brabant_extended,Breda,Dental Clinics Breda Belcrum Linie,belcrum.linie@dentalclinics.nl,+31765214214,https://www.dentalclinics.nl/tandarts/breda-belcrum-linie/,brabant-dental-top-100.csv,sent,Mohamed,7,A2,owner_or_practice_manager,,,Likely loses site-level chair time to no-shows and late cancellations and still relies on front-desk recovery workflows.,KNMT_or_NVM,Korte vraag over no-shows bij Dental Clinics Breda Belcrum Linie,first_email_sent,2026-04-17,email,2026-04-20,no_response,not_booked,,no,2026-04-20,Founder-intro email sent on 2026-04-17 in Dutch
31,brabant_extended,Roosendaal,Tandartspraktijk Kroeven,info@tandartspraktijkkroeven.nl,0165-567969,https://www.tandartspraktijkkroeven.nl/,brabant-dental-top-100.csv,sent,Mohamed,7,A2,owner_or_practice_manager,,,Likely loses chair time to no-shows and late cancellations and absorbs the recovery work through reminders and rescheduling.,KNMT_or_NVM,Korte vraag over no-shows bij Tandartspraktijk Kroeven,first_email_sent,2026-04-17,email,2026-04-20,no_response,not_booked,,no,2026-04-20,Founder-intro email sent on 2026-04-17 in Dutch
32,brabant_extended,Bergen op Zoom,Tandartspraktijk Novita,info@tpnovita.nl,+0164 30 40 99,https://tpnovita.nl,brabant-dental-top-100.csv,sent,Mohamed,7,A2,owner_or_practice_manager,,,Likely loses chair time to no-shows and late cancellations and absorbs the recovery work through reminders and rescheduling.,KNMT_or_NVM,Korte vraag over no-shows bij Tandartspraktijk Novita,first_email_sent,2026-04-17,email,2026-04-20,no_response,not_booked,,no,2026-04-20,Founder-intro email sent on 2026-04-17 in Dutch
33,brabant_extended,Breda,Tandartsenpraktijk Kieskeurig,info@tandartsenpraktijk-kieskeurig.nl,+31768891910,https://www.tandartsenpraktijk-kieskeurig.nl/kinderen/,brabant-dental-top-100.csv,sent,Mohamed,7,A2,owner_or_practice_manager,,,Likely loses chair time to no-shows and late cancellations and absorbs the recovery work through reminders and rescheduling.,KNMT_or_NVM,Korte vraag over no-shows bij Tandartsenpraktijk Kieskeurig,first_email_sent,2026-04-17,email,2026-04-20,no_response,not_booked,,no,2026-04-20,Founder-intro email sent on 2026-04-17 in Dutch
34,brabant_extended,Den Bosch,Tandartspraktijk de Kooiker,info@dekooiker.nl,+31736217016,https://www.dekooiker.nl,brabant-dental-top-100.csv,sent,Mohamed,7,A2,owner_or_practice_manager,,,Likely loses chair time to no-shows and late cancellations and absorbs the recovery work through reminders and rescheduling.,KNMT_or_NVM,Korte vraag over no-shows bij Tandartspraktijk de Kooiker,first_email_sent,2026-04-17,email,2026-04-20,no_response,not_booked,,no,2026-04-20,Founder-intro email sent on 2026-04-17 in Dutch
35,brabant_extended,Breda,Praktijk voor Parodontologie en Implantologie Breda,infobalie@parobreda.nl,0047864255,https://www.parobreda.nl,brabant-dental-top-100.csv,sent,Mohamed,6,A2,owner_or_practice_manager,,,Likely loses chair time to no-shows and late cancellations and absorbs the recovery work through reminders and rescheduling.,KNMT_or_NVM,Korte vraag over no-shows bij Praktijk voor Parodontologie en Implantologie Breda,first_email_sent,2026-04-17,email,2026-04-20,no_response,not_booked,,no,2026-04-20,Founder-intro email sent on 2026-04-17 in Dutch
36,brabant_extended,Den Bosch,Tandartspraktijk Zevenhont,info@zevenhont.com,+31736417722,https://www.tandartspraktijkzevenhont.nl/,brabant-dental-top-100.csv,sent,Mohamed,7,A2,owner_or_practice_manager,,,Likely loses chair time to no-shows and late cancellations and absorbs the recovery work through reminders and rescheduling.,KNMT_or_NVM,Korte vraag over no-shows bij Tandartspraktijk Zevenhont,first_email_sent,2026-04-17,email,2026-04-20,no_response,not_booked,,no,2026-04-20,Founder-intro email sent on 2026-04-17 in Dutch
37,brabant_extended,Uden,Tandartspraktijk Maashorst,tandartspraktijkmaashorst@gmail.com,0413264490,https://tandartspraktijkmaashorst.nl,brabant-dental-top-100.csv,sent,Mohamed,7,A2,owner_or_practice_manager,,,Likely loses chair time to no-shows and late cancellations and absorbs the recovery work through reminders and rescheduling.,KNMT_or_NVM,Quick question about no-shows at Tandartspraktijk Maashorst,first_email_sent,2026-04-18,email,2026-04-21,no_response,not_booked,,no,2026-04-19,Founder-intro email sent on 2026-04-17 in Dutch Founder-intro email sent on 2026-04-18 in English.
38,brabant_extended,Bergen op Zoom,Tandgaaf,info@tandgaaf.nu,,https://tandgaaf.nu,brabant-dental-top-100.csv,sent,Mohamed,6,A2,owner_or_practice_manager,,,Likely loses chair time to no-shows and late cancellations and absorbs the recovery work through reminders and rescheduling.,KNMT_or_NVM,Quick question about no-shows at Tandgaaf,first_email_sent,2026-04-18,email,2026-04-21,no_response,not_booked,,no,2026-04-19,Founder-intro email sent on 2026-04-17 in Dutch Corrected from directory route to direct clinic site and email on 2026-04-18. Founder-intro email sent on 2026-04-18 in English.
39,adjacent_south,Utrecht,Dental Clinics Utrecht Maliebaan,maliebaan@dentalclinics.nl,+31302310003,https://www.dentalclinics.nl/tandarts/utrecht-maliebaan/,brabant-dental-top-100.csv,sent,Mohamed,7,A2,owner_or_practice_manager,,,Likely loses site-level chair time to no-shows and late cancellations and still relies on front-desk recovery workflows.,KNMT_or_NVM,Korte vraag over no-shows bij Dental Clinics Utrecht Maliebaan,first_email_sent,2026-04-17,email,2026-04-20,no_response,not_booked,,no,2026-04-20,Founder-intro email sent on 2026-04-17 in Dutch
40,adjacent_south,Nijmegen,Tandartspraktijk Bochem Brakkenstein,tandarts@bochem.nl,024 323 44 22,https://www.bochem.nl,brabant-dental-top-100.csv,sent,Mohamed,7,A2,owner_or_practice_manager,,,Likely loses chair time to no-shows and late cancellations and absorbs the recovery work through reminders and rescheduling.,KNMT_or_NVM,Korte vraag over no-shows bij Tandartspraktijk Bochem Brakkenstein,first_email_sent,2026-04-17,email,2026-04-20,no_response,not_booked,,no,2026-04-20,Founder-intro email sent on 2026-04-17 in Dutch
41,adjacent_south,Utrecht,Dental Clinics Utrecht Oudenoord,oudenoord@dentalclinics.nl,+31302315370,https://www.dentalclinics.nl/tandarts/utrecht-oudenoord/,brabant-dental-top-100.csv,sent,Mohamed,7,A2,owner_or_practice_manager,,,Likely loses site-level chair time to no-shows and late cancellations and still relies on front-desk recovery workflows.,KNMT_or_NVM,Quick question about no-shows at Dental Clinics Utrecht Oudenoord,first_email_sent,2026-04-17,email,2026-04-20,no_response,not_booked,,no,2026-04-20,Founder-intro email sent on 2026-04-17 in Dutch
42,adjacent_south,Utrecht,Boelens Tandartsen,info@boelenstandartsen.nl,+31302442023,http://www.boelenstandartsen.nl/,brabant-dental-top-100.csv,sent,Mohamed,7,A2,owner_or_practice_manager,,,Likely loses chair time to no-shows and late cancellations and absorbs the recovery work through reminders and rescheduling.,KNMT_or_NVM,Quick question about no-shows at Boelens Tandartsen,first_email_sent,2026-04-17,email,2026-04-20,no_response,not_booked,,no,2026-04-20,Founder-intro email sent on 2026-04-17 in English
43,adjacent_south,Weert,Tandzorg Oranjeplein,info@tandzorgoranjeplein.nl,0495524261,https://www.tandzorgoranjeplein.nl/,brabant-dental-top-100.csv,sent,Mohamed,6,A2,owner_or_practice_manager,,,Likely loses chair time to no-shows and late cancellations and absorbs the recovery work through reminders and rescheduling.,KNMT_or_NVM,Quick question about no-shows at Tandzorg Oranjeplein,first_email_sent,2026-04-17,email,2026-04-20,no_response,not_booked,,no,2026-04-20,Founder-intro email sent on 2026-04-17 in English
44,adjacent_south,Venlo,Tandartspraktijk Wermenbol,info@tandartswermenbol.nl,0031773526126,https://www.tandartswermenbol.nl,brabant-dental-top-100.csv,sent,Mohamed,7,A2,owner_or_practice_manager,,,Likely loses chair time to no-shows and late cancellations and absorbs the recovery work through reminders and rescheduling.,KNMT_or_NVM,Quick question about no-shows at Tandartspraktijk Wermenbol,first_email_sent,2026-04-17,email,2026-04-20,no_response,not_booked,,no,2026-04-20,Founder-intro email sent on 2026-04-17 in English
45,adjacent_south,Nijmegen,Fortuna Kliniek Voor Tandheelkunde,info@fortunakliniek.nl,024-2036180,https://www.fortunakliniek.nl,brabant-dental-top-100.csv,sent,Mohamed,7,A2,owner_or_practice_manager,,,Likely loses chair time to no-shows and late cancellations and absorbs the recovery work through reminders and rescheduling.,KNMT_or_NVM,Quick question about no-shows at Fortuna Kliniek Voor Tandheelkunde,first_email_sent,2026-04-17,email,2026-04-20,no_response,not_booked,,no,2026-04-20,Founder-intro email sent on 2026-04-17 in English
46,adjacent_south,Utrecht,Tandartspraktijk Bartoklaan,post@bartoklaan.nl,//030-2993666,https://www.bartoklaan.nl,brabant-dental-top-100.csv,sent,Mohamed,7,A2,owner_or_practice_manager,,,Likely loses chair time to no-shows and late cancellations and absorbs the recovery work through reminders and rescheduling.,KNMT_or_NVM,Quick question about no-shows at Tandartspraktijk Bartoklaan,first_email_sent,2026-04-17,email,2026-04-20,no_response,not_booked,,no,2026-04-20,Founder-intro email sent on 2026-04-17 in English
47,adjacent_south,Venlo,Dental Clinics Venlo,venlo@dentalclinics.nl,+31773513493,https://www.dentalclinics.nl/tandarts/venlo/,brabant-dental-top-100.csv,sent,Mohamed,7,A2,owner_or_practice_manager,,,Likely loses site-level chair time to no-shows and late cancellations and still relies on front-desk recovery workflows.,KNMT_or_NVM,Quick question about no-shows at Dental Clinics Venlo,first_email_sent,2026-04-17,email,2026-04-20,no_response,not_booked,,no,2026-04-20,Founder-intro email sent on 2026-04-17 in English
48,adjacent_south,Maastricht,Dental Clinics Maastricht Centrum,maastricht@dentalclinics.nl,+31433251545,https://www.dentalclinics.nl/tandarts/maastricht-centrum/,brabant-dental-top-100.csv,sent,Mohamed,7,A2,owner_or_practice_manager,,,Likely loses site-level chair time to no-shows and late cancellations and still relies on front-desk recovery workflows.,KNMT_or_NVM,Quick question about no-shows at Dental Clinics Maastricht Centrum,first_email_sent,2026-04-17,email,2026-04-20,no_response,not_booked,,no,2026-04-20,Founder-intro email sent on 2026-04-17 in English
49,adjacent_south,Maastricht,Dental Clinics Maastricht Heerderrein,heerderrein@dentalclinics.nl,+31433614521,https://www.dentalclinics.nl/tandarts/maastricht-heerderrein/,brabant-dental-top-100.csv,sent,Mohamed,7,A2,owner_or_practice_manager,,,Likely loses site-level chair time to no-shows and late cancellations and still relies on front-desk recovery workflows.,KNMT_or_NVM,Quick question about no-shows at Dental Clinics Maastricht Heerderrein,first_email_sent,2026-04-17,email,2026-04-20,no_response,not_booked,,no,2026-04-20,Use English founder-intro version from this point onward
50,adjacent_south,Arnhem,Mondzorg Velperweg B.V.,info@mondzorgvelperweg.nl,0263614731,https://www.tandarts-in-arnhem.nl,brabant-dental-top-100.csv,sent,Mohamed,7,A2,owner_or_practice_manager,,,"Likely feels reminder, confirmation, and rescheduling workload across an appointment-heavy oral-care schedule.",KNMT_or_NVM,Quick question about no-shows at Mondzorg Velperweg B.V.,first_email_sent,2026-04-17,email,2026-04-20,no_response,not_booked,,no,2026-04-20,Use English founder-intro version from this point onward
51,adjacent_south,Arnhem,Tandartsenpraktijk St.Elisabeths Gasthuis,info@tpeg.nl,00000193-644,https://tpeg.nl,brabant-dental-top-100.csv,sent,Mohamed,7,A2,owner_or_practice_manager,,,Likely loses chair time to no-shows and late cancellations and absorbs the recovery work through reminders and rescheduling.,KNMT_or_NVM,Quick question about no-shows at Tandartsenpraktijk St.Elisabeths Gasthuis,first_email_sent,2026-04-18,email,2026-04-21,no_response,not_booked,,no,2026-04-19,Use English founder-intro version from this point onward Corrected from invalid Google Maps placeholder route to direct clinic email on 2026-04-18. Founder-intro email sent on 2026-04-18 in English.
52,adjacent_south,Utrecht,Mondzorgpraktijk Zuilen,info@mhzuilen.nl,0938706558-970,https://www.mhzuilen.nl,brabant-dental-top-100.csv,sent,Mohamed,7,A2,owner_or_practice_manager,,,"Likely feels reminder, confirmation, and rescheduling workload across an appointment-heavy oral-care schedule.",KNMT_or_NVM,Quick question about no-shows at Mondzorgpraktijk Zuilen,first_email_sent,2026-04-18,email,2026-04-21,no_response,not_booked,,no,2026-04-19,Use English founder-intro version from this point onward Founder-intro email sent on 2026-04-18 in English.
